titulo,cidade_estado,autoria,ano,link_experiencia
"EUCAÇÃO PERMANENTE EM SAÚDE, PARA O ACOLHIMENTO DE CRIANÇAS NA VACINAÇÃO CONTRA COVID 19",Viamão - RS,Juliane Guimaraes Salgueiro,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/245_eucacao-permanente-em-saude-para-o-acolhimento-de-criancas-na-vacinacao-contra-covid-19
RÁDIO CABEÇA DE VIAMÃO: POSSIBILIDADES E ALCANCES DO WEBCUIDADO EM SAÚDE MENTAL,Viamão - RS,Vanessa Regina Bettiol de Oliveira,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/249_radio-cabeca-de-viamao-possibilidades-e-alcances-do-webcuidado-em-saude-mental
GIP – REFAZENDO A VIDA DAS PESSOAS. O CUIDADO INTEGRAL DENTRO DAS ESCOLAS.,Viamão - RS,Michele Galvão da Silva,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/251_gip-refazendo-a-vida-das-pessoas-o-cuidado-integral-dentro-das-escolas
EQUIDADE NO SUS POR MEIO DA ARTICULAÇÃO REGIONAL: SAÚDE MENTAL INDÍGENA,Balneário Barra do Sul - SC,Eloisa de Lacerda,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/266_equidade-no-sus-por-meio-da-articulacao-regional-saude-mental-indigena
MOTOLÂNCIA – SAMU-192 DE BALNEÁRIO CAMBORIÚ: UM DISPOSITIVO DE ASSISTÊNCIA E INTEGRAÇÃO MUNICIPAL,Balneário Camboriú - SC,VICTOR MOREIRA DE MORAES LOPES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/263_motolancia-samu-192-de-balneario-camboriu-um-dispositivo-de-assistencia-e-integracao-municipal
O CENTRO DE SAÚDE DO IDOSO E A REORGANIZAÇÃO DA ASSISTÊNCIA DURANTE A PANDEMIA COVID-19,Blumenau - SC,Mara Rúbia Rutzen,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/265_o-centro-de-saude-do-idoso-e-a-reorganizacao-da-assistencia-durante-a-pandemia-covid-19
"EXPERIÊNCIA NO CONTROLE DA COVID-19 EM ILPIS NO PERÍODO DE PANDEMIA, NO MUNICÍPIO DE CUNHA PORÃ-SC.",Cunha Porã - SC,ANA PAULA WEBER DA ROSA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/267_experiencia-no-controle-da-covid-19-em-ilpis-no-periodo-de-pandemia-no-municipio-de-cunha-pora-sc
A CONTRIBUIÇÃO DO COSEMS/SC NA MELHORIA DO ACESSO À INFORMAÇÃO E RESPOSTA À PANDEMIA,Florianópolis - SC,CLEMILSON AUGUSTO SOUZA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/282_a-contribuicao-do-cosems-sc-na-melhoria-do-acesso-a-informacao-e-resposta-a-pandemia
TRANSFORMANDO DADOS EM SABEDORIA: O USO DE UM PAINEL DE INFORMAÇÕES NA ESTRATÉGIA APOIADOR COSEMS/SC,Florianópolis - SC,Guilherme Daniel Pupo,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/283_transformando-dados-em-sabedoria-o-uso-de-um-painel-de-informacoes-na-estrategia-apoiador-cosems-sc
REORGANIZAÇÃO DA ASSISTÊNCIA AO PRÉ-NATAL NA APS,Fraiburgo - SC,Marilia de Bairros Ceron Thadani,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/269_reorganizacao-da-assistencia-ao-pre-natal-na-aps
INSERÇÃO DO CENTRO DE REABILITAÇÃO CARDIOPULMONAR NA APS NO MUNICÍPIO DE GUARAMIRIM/SC.,Guaramirim - SC,Andressa Schmidt dos Santos,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/274_insercao-do-centro-de-reabilitacao-cardiopulmonar-na-aps-no-municipio-de-guaramirim-sc
INTEGRALIDADE DA ASSISTÊNCIA EM SAÚDE: IMPLANTAÇÃO DAS PICS NO MUNIÍPIO DE IBIRAMA.,Ibirama - SC,Vanessa Zink,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/280_integralidade-da-assistencia-em-saude-implantacao-das-pics-no-muniipio-de-ibirama
GRUPO REFLEXIVO DE GÊNERO E MASCULINIDADE,Indaial - SC,Paula Gabriela Laurentino,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/278_grupo-reflexivo-de-genero-e-masculinidade
AMPLIAÇÃO DO PLANEJAMENTO FAMILIAR: OFERTA DE CONTRACEPTIVO SUBDÉRMICO NO MUNICÍPIO DE ITAJAÍ,Itajaí - SC,Ana Tereza Canziani Pereira Boschi,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/281_ampliacao-do-planejamento-familiar-oferta-de-contraceptivo-subdermico-no-municipio-de-itajai
VACINAÇÃO AGENDADA CONTRA A COVID-19 EM JOINVILLE: UM PROCESSO 100% DIGITAL E HUMANIZADO,Joinville - SC,DENIS ALBINO DE OLIVEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/268_vacinacao-agendada-contra-a-covid-19-em-joinville-um-processo-100-digital-e-humanizado
INCLUSÃO DE MEDICAMENTOS OPIOIDES NA RESME POR ATUAÇÃO DA CÂMARA TÉCNICA DE ASSISTÊNCIA FARMACÊUTICA,Joinville - SC,Louise Domeneghini Chiaradia Delatorre,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/270_inclusao-de-medicamentos-opioides-na-resme-por-atuacao-da-camara-tecnica-de-assistencia-farmaceutica
PROGRAMA DE GESTÃO REGIONALIZADA DA JUDICIALIZAÇÃO DA SAÚDE (PROGREJUS),Joinville - SC,Andrei Popovski Kolaceke,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/275_programa-de-gestao-regionalizada-da-judicializacao-da-saude-progrejus
ESTRATÉGIAS DESENVOLVIDAS POR UMA UBS PARA AUMENTAR A ADESÃO À COLETA DO EXAME PREVENTIVO,Luiz Alves - SC,Fernanda Schuldt,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/273_estrategias-desenvolvidas-por-uma-ubs-para-aumentar-a-adesao-a-coleta-do-exame-preventivo
PLANEJAMENTO EM SAÚDE: DA ELABORAÇÃO DO PLANO MUNICIPAL A GESTÃO DO FUNDO DE SAÚDE DE POMERODE,Pomerode - SC,Loraine Silveira Aurélio,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/264_planejamento-em-saude-da-elaboracao-do-plano-municipal-a-gestao-do-fundo-de-saude-de-pomerode
CAMPANHA DE VACINAÇÃO: UMA PARCERIA ENTRE A GERÊNCIA DE COMUNICAÇÃO E A SECRETARIA DE SAÚDE.,Pomerode - SC,Simone Isabel Steffens da Silva,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/272_campanha-de-vacinacao-uma-parceria-entre-a-gerencia-de-comunicacao-e-a-secretaria-de-saude
IMPLANTAÇÃO DA OZONIOTERAPIA COMO NOVO RECURSO TERAPÊUTICO DA FISIOTERAPIA NO MUNICÍPIO DE SANGÃO/SC,Sangão - SC,Kamilla Brum Martins Barreto,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/277_implantacao-da-ozonioterapia-como-novo-recurso-terapeutico-da-fisioterapia-no-municipio-de-sangao-sc
VALORIZAÇÃO DA VIDA - CAMPANHA SETEMBRO AMARELO,Santa Terezinha do Progresso - SC,Taize Hollas Lara Dias,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/271_valorizacao-da-vida-campanha-setembro-amarelo
IMPLANTAÇÃO DO AMBULATÓRIO PARA O TRATAMENTO DE FERIDAS.,São Bento do Sul - SC,Erica Maria Elisabeth Flos,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/279_implantacao-do-ambulatorio-para-o-tratamento-de-feridas
PERFIL E PROGNÓSTICO DOS PACIENTES ATENDIDOS NA FISIOTERAPIA: IMPLANTAÇÃO DO MÉTODO PILATES NO SUS,São Miguel da Boa Vista - SC,Josilene Souza Conceição Kaminski,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/262_perfil-e-prognostico-dos-pacientes-atendidos-na-fisioterapia-implantacao-do-metodo-pilates-no-sus
VACINAÇÃO ITINERANTE: UMA ESTRATÉGIA PARA ALCANCE DA COBERTURA VACINAL,Tubarão - SC,Shaiane Salvador da Luz,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/276_vacinacao-itinerante-uma-estrategia-para-alcance-da-cobertura-vacinal
IMPLANTAÇÃO DA CENTRAL DE REGULAÇÃO DE LEITOS EM TEMPOS DE COVID19: GARANTIA DE ACESSO QUALIFICADO.,Aracaju - SE,Talita Siqueira Silva,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/284_implantacao-da-central-de-regulacao-de-leitos-em-tempos-de-covid19-garantia-de-acesso-qualificado
"ESTRATÉGIAS PARA VACINAÇÃO CONTRA A COVID-19 EM ARACAJU: PLANEJAMENTO, TRABALHO E COMUNICAÇÃO",Aracaju - SE,Ana Régia Oliveira de Andrade,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/285_estrategias-para-vacinacao-contra-a-covid-19-em-aracaju-planejamento-trabalho-e-comunicacao
PROJETO TESTAJU– FORTALECIMENTO DA VIGILÂNCIA EM SAÚDE NO MONITORAMENTO DA COVID-19 EM ARACAJU/SE,Aracaju - SE,WANESKA DE SOUZA BARBOZA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/287_projeto-testaju-fortalecimento-da-vigilancia-em-saude-no-monitoramento-da-covid-19-em-aracaju-se
O PROTAGONISMO DO COSEMS/SE NAS RELAÇÕES INSTITUCIONAIS,Aracaju - SE,Elisonia Moura Lisboa,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/289_o-protagonismo-do-cosems-se-nas-relacoes-institucionais
PREVINE N. SRA. DAS DORES–SE: DO MONITORAMENTO DOS INDICADORES À GESTÃO COLEGIADA COM TRABALHADORES,Nossa Senhora das Dores - SE,Diego Santos Santana,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/288_previne-n-sra-das-dores-se-do-monitoramento-dos-indicadores-a-gestao-colegiada-com-trabalhadores
"SEMINÁRIO DE MOSTRA DE PROJETOS EM SAÚDE PIRAMBU, AQUI TEM SUS!",Pirambu - SE,IVAMILTON NASCIMETNO SANTOS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/286_seminario-de-mostra-de-projetos-em-saude-pirambu-aqui-tem-sus
CAMPANHA DE VACINAÇÃO COVID-19 NO MUNICÍPIO DE ASSIS: UM RELATO DE EXPERIÊNCIA,Assis - SP,CAMILA DE MORAES DELCHIARO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/297_campanha-de-vacinacao-covid-19-no-municipio-de-assis-um-relato-de-experiencia
Vacinação contra covid na população em situação de rua e de abrigo,Atibaia - SP,PATRICIA ALEXANDRA SILVA SILVEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/320_vacinacao-contra-covid-na-populacao-em-situacao-de-rua-e-de-abrigo
ESTRATÉGIAS MULTIDISCIPLINARES E HUMANIZADAS NO SUS E IMPACTO NA REDUÇÃO DA JUDICIALIZAÇÃO DA SAÚDe,Bastos - SP,RAFAEL TEIXEIRA SEBASTIANI,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/299_estrategias-multidisciplinares-e-humanizadas-no-sus-e-impacto-na-reducao-da-judicializacao-da-saude
Desenvolvimento de um software para acesso e sistematização para a vacinação contra a covid-19,Batatais - SP,BRUNA FRANCIELLE TONETI,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/295_desenvolvimento-de-um-software-para-acesso-e-sistematizacao-para-a-vacinacao-contra-a-covid-19
Da Invisibilidade à Visibilidade da população Transexual no Ambulatório: é possível?,Bauru - SP,JOSIANE FERNANDES LOZIGIA CARRAPATO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/319_da-invisibilidade-a-visibilidade-da-populacao-transexual-no-ambulatorio-e-possivel
INSTRUMENTOS DE PLANEJAMENTO DO SUS: ESTRATÉGIAS PARA A CONSTRUÇÃO PARTICIPATIVA E DEMOCRÁTICA,Bragança Paulista - SP,LISAMARA DIAS DE OLIVEIRA NEGRINI,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/294_instrumentos-de-planejamento-do-sus-estrategias-para-a-construcao-participativa-e-democratica
FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE: RODAS DE CONVERSA COMO ESTRATÉGIA DE EDUCAÇÃO PERMANENTE,Campinas - SP,ALOIDE LADEIA GUIMARÃES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/317_fortalecimento-da-atencao-primaria-a-saude-rodas-de-conversa-como-estrategia-de-educacao-permanente
ATESTADO SANITÁRIO: VIGILÂNCIA EM SAÚDE NA PREVENÇÃO DA DISSEMINAÇÃO DO SARS-COV-2,Campinas - SP,ELIANE REGINA ZAMPIERI DE LIMA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/322_atestado-sanitario-vigilancia-em-saude-na-prevencao-da-disseminacao-do-sars-cov-2
Alta responsável e acompanhamento pela EMAD no contexto da pandemia da COVID 19.,Catanduva - SP,CAMILA DE SANTIS SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/309_alta-responsavel-e-acompanhamento-pela-emad-no-contexto-da-pandemia-da-covid-19
VIOLENCIAS AUTOPROVOCADAS E A PANDEMIA DE COVID 19: NOVAS PACTUACOES NECESSÁRIAS,Diadema - SP,DENISE MIYAMOTO DE OLIVEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/302_violencias-autoprovocadas-e-a-pandemia-de-covid-19-novas-pactuacoes-necessarias
CRIAÇÃO E AUTOMAÇÃO DE DASHBOARD DE ACOMPANHAMENTO DA PANDEMIA DE SARS-COV-2 NO SOFTWARE POWER BI,Guararema - SP,FABIANO MASSAHARU TOMITA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/318_criacao-e-automacao-de-dashboard-de-acompanhamento-da-pandemia-de-sars-cov-2-no-software-power-bi
Grupo terapêutico - Emoções saudáveis e pilates infantil na atenção básica,Ilha Solteira - SP,LELIA LOFEGO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/301_grupo-terapeutico-emocoes-saudaveis-e-pilates-infantil-na-atencao-basica
EDUCAÇÃO PERMANENTE EM SAÚDE: UMA ESTRATÉGIA PARA IMPLEMENTAR O PROGRAMA CIDADES SAUDÁVEIS,Jacareí - SP,SANMYA FEITOSA TAJRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/312_educacao-permanente-em-saude-uma-estrategia-para-implementar-o-programa-cidades-saudaveis
Uso da tecnologia para otimização do atendimento e geração de indicadores no CEAF jundiaí,Jundiaí - SP,FABIANA DA SILVA FISNACK RONQUE,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/304_uso-da-tecnologia-para-otimizacao-do-atendimento-e-geracao-de-indicadores-no-ceaf-jundiai
Plano Municipal de Saúde de Jundiaí: consolidação da construção coletiva,Jundiaí - SP,NAYARA RAEL NEVES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/310_plano-municipal-de-saude-de-jundiai-consolidacao-da-construcao-coletiva
PROGRAMA DE FORTALECIMENTO PÓS COVID-19 NO MUNICÍPIO DE jUQUIÁ-SP,Juquiá - SP,ANDRé LUIZ SIMõES RATO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/298_programa-de-fortalecimento-pos-covid-19-no-municipio-de-juquia-sp
Saúde Rural: Ampliação do acesso as comunidades rurais no contexto da pandemia da COVID19.,Novo Horizonte - SP,JANAíNA MARTINS LOPES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/306_saude-rural-ampliacao-do-acesso-as-comunidades-rurais-no-contexto-da-pandemia-da-covid19
Serviço Odontológico de Urgência e sua integração com a Rede de Atenção à Saúde Bucal,Presidente Prudente - SP,JULIANE HUNGARO DE CARVALHO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/290_servico-odontologico-de-urgencia-e-sua-integracao-com-a-rede-de-atencao-a-saude-bucal
"FALA SAÚDE MENTAL: UMA NOVA ESTRATÉGIA DE APROXIMAÇÃO, VÍNCULO E COMUNICAÇÃO NO CAPS DE REGISTRO-SP",Registro - SP,Hugo Gonçalves Alves,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/303_fala-saude-mental-uma-nova-estrategia-de-aproximacao-vinculo-e-comunicacao-no-caps-de-registro-sp
A VACINAÇÃO CONTRA COVID-19: DESAFIOS DA ORGANIZAÇÃO DE RECURSOS HUMANOS,Ribeirão Preto - SP,LILIAN CARLA DE ALMEIDA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/323_a-vacinacao-contra-covid-19-desafios-da-organizacao-de-recursos-humanos
"Contextualização histórica da política de promoção, proteção e apoio ao aleitamento em RibeiraopretO",Ribeirão Preto - SP,LILIAN DONIZETE PIMENTA NOGUEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/326_contextualizacao-historica-da-politica-de-promocao-protecao-e-apoio-ao-aleitamento-em-ribeiraopreto
ACOMPANHAMENTO INTERDISCIPLINAR DE BEBÊS DE MÃES INFECTADAS COM SARS-COV-2 DURANTE A GESTAÇÃO,Rio Claro - SP,GIOVANA CESTARO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/314_acompanhamento-interdisciplinar-de-bebes-de-maes-infectadas-com-sars-cov-2-durante-a-gestacao
GRUPO DE PSICOTERAPIA COM ENLUTADOS: MOVIMENTANDO-SE ATRAVÉS DA DOR.,Santana de Parnaíba - SP,KARINA MONTEIRO DE FREITAS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/291_grupo-de-psicoterapia-com-enlutados-movimentando-se-atraves-da-dor
ENFRENTAMENTO À COVID NAS ESCOLAS DE SANTANA DE PARNAÍBA - SP: O PSE COMO PROTAGONISTA,Santana de Parnaíba - SP,HELOISA MORISHITA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/311_enfrentamento-a-covid-nas-escolas-de-santana-de-parnaiba-sp-o-pse-como-protagonista
"Reduzindo Danos e Protegendo Vidas - Cuidado às Gestantes em Situação de Rua, usuárias de sPA.",Santo André - SP,ANTONIO RINALDO PAGNI,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/307_reduzindo-danos-e-protegendo-vidas-cuidado-as-gestantes-em-situacao-de-rua-usuarias-de-spa
A experiência dA vacinação desenvolvida no enfrentamento dos casos de sarampo em navio de cruzeiro,Santos - SP,ANA PAULA NUNES VIVEIROS VALEIRAS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/292_a-experiencia-da-vacinacao-desenvolvida-no-enfrentamento-dos-casos-de-sarampo-em-navio-de-cruzeiro
CONSTRUÇÃO DO PLANO MUNICIPAL DE EDUCAÇÃO PERMANENTE EM SAÚDE EM SANTOS - SP,Santos - SP,IVALDO REIS DOS SANTOS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/315_construcao-do-plano-municipal-de-educacao-permanente-em-saude-em-santos-sp
O projeto “Desacelera: percebendo a vida com outro ritmo” na Academia da Saúde,Socorro - SP,MARIA GISELLE ALONSO GONçALEZ,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/293_o-projeto-desacelera-percebendo-a-vida-com-outro-ritmo-na-academia-da-saude
Violência na atenção básica: a classificação de risco como apoio ao monitoramento do cuidado em rede,Suzano - SP,MAGNA BARBOZA DAMASCENO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/305_violencia-na-atencao-basica-a-classificacao-de-risco-como-apoio-ao-monitoramento-do-cuidado-em-rede
PROJETO FILIPETA DIGITAL - SBC,São Bernardo do Campo - SP,ELAINE GOMES DA SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/313_projeto-filipeta-digital-sbc
ESTRATÉGIA DE ATENDIMENTO DA UNIDADE DE REFERENCIA A SAÚDE DO IDOSO CARANDIRU NA PANDEMIA COVID 19,São Paulo - SP,NICOLE SANTOS RODRIGUES SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/300_estrategia-de-atendimento-da-unidade-de-referencia-a-saude-do-idoso-carandiru-na-pandemia-covid-19
HISTORIAÇÃO DA PANDEMIA DE COVID-19 NO ESTADO DE SÃO PAULO – A VISÃO DO COSEMS/SP,São Paulo - SP,DIRCE MARQUES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/316_historiacao-da-pandemia-de-covid-19-no-estado-de-sao-paulo-a-visao-do-cosems-sp
Crônicas de Marias Escrevivências de mulheres que usam substâncias psicoativas na periferia de Sp,São Paulo - SP,KAROLINE DOS SANTOS GERMANO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/321_cronicas-de-marias-escrevivencias-de-mulheres-que-usam-substancias-psicoativas-na-periferia-de-sp
"DE PROJETO À ESTRATÉGIA...MOVIMENTOS, DISPOSITIVOS E DECISÃO POLÍTICA PARA SUSTENTABILIDADE DO APOIO",São Paulo - SP,MARCIA MARINHO TUBONE,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/324_de-projeto-a-estrategia-movimentos-dispositivos-e-decisao-politica-para-sustentabilidade-do-apoio
Apoio municipal ao processo de planejamento e gestão orçamentária do SUS em tempos de Pandemia,São Paulo - SP,MARIANA ALVES MELO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/325_apoio-municipal-ao-processo-de-planejamento-e-gestao-orcamentaria-do-sus-em-tempos-de-pandemia
UM LUGAR PARA CHAMAR DE SEU - Implantação da C.A.S.A do Adolescente em Taboão da Serra,Taboão da Serra - SP,CARLA ALESSANDRA BORGES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/296_um-lugar-para-chamar-de-seu-implantacao-da-c-a-s-a-do-adolescente-em-taboao-da-serra
INQUÉRITO IMUNOEPIDEMIOLÓGICO DE COVID-19 EM ZONA RURAL DO MUNICÍPIO DE TAMBAÚ/SP.,Tambaú - SP,CLAUDIA MARIA LINCOLN SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/308_inquerito-imunoepidemiologico-de-covid-19-em-zona-rural-do-municipio-de-tambau-sp
DESAFIOS DO SUS: CARDIOLOGIA PEDIÁTRICA DE SUCESSO NO HOSPITAL MUNICIPAL DE ARAGUAÍNA - hma,Araguaína - TO,ANA PAULA DOS SANTOS ANDRADE ABADIA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/330_desafios-do-sus-cardiologia-pediatrica-de-sucesso-no-hospital-municipal-de-araguaina-hma
FÓRUM MUNICIPAL DO PSE: ESTRATÉGIA DE INTEGRAÇÃO E FORTALECIMENTO ENTRE SAÚDE E EDUCAÇÃO.,Augustinópolis - TO,YATHA ANDERSON PEREIRA MACIEL,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/333_forum-municipal-do-pse-estrategia-de-integracao-e-fortalecimento-entre-saude-e-educacao
Viva LeveMENTE GUARAÍ,Guaraí - TO,MARIA JOSE NERES DA SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/329_viva-levemente-guarai
TERRITORIALIZAÇÃO DIGITAL DA REDE ATENÇÃO PRIMÁRIA DA ZONA URBANA DO MUNICÍPIO DE GRUPI-TO,Gurupi - TO,EDSON CARDOSO TEIXEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/332_territorializacao-digital-da-rede-atencao-primaria-da-zona-urbana-do-municipio-de-grupi-to
FORTALECIMENTO DA REDE DE GOVERNANÇA DA INFORMAÇÃO E INFORMÁTICA DO COSEMS-TO,Palmas - TO,LUCIANA DE SOUSA MIRANDA GOMES,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/328_fortalecimento-da-rede-de-governanca-da-informacao-e-informatica-do-cosems-to
PROJETO PESO SAUDÁVEL,Ponte Alta do Bom Jesus - TO,CAMILA AIRES DE OLIVEIRA SARDINHA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/327_projeto-peso-saudavel
A CONTRIBUIÇÃO DO PROJETO TERAPÊUTICO SINGULAR (PTS) NO DIAGNÓSTICO PRECOCE DE AUTISMO NA INFÂNCIA.,Riachinho - TO,TERESINHA DE JESUS FREITAS DIAS LEITE,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/331_a-contribuicao-do-projeto-terapeutico-singular-pts-no-diagnostico-precoce-de-autismo-na-infancia
ASSIS BRASIL/CORONAVÍRUS – COMO A CIDADE FRONTEIRIÇA ENFRENTOU UMA DEMANDA DESORDENADA DE IMIGRANTES ESTRANGEIROS.,Assis Brasil - AC,HUDYNALDO ANTONIO GADELHA MARTINS,2021,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1189_assis-brasil-coronavirus-como-a-cidade-fronteirica-enfrentou-uma-demanda-desordenada-de-imigrantes-estrangeiros
Monitoramento centralizado e Assistência descentralizada: a APS e VS reduzindo a transmissão e o agravamento dos casos de COVID19 no município de Capixaba/AC,Capixaba - AC,MARIANA UCHÔA PEREIRA ,2021,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1190_monitoramento-centralizado-e-assistencia-descentralizada-a-aps-e-vs-reduzindo-a-transmissao-e-o-agravamento-dos-casos-de-covid19-no-municipio-de-capixaba-ac
"Unidade Sentinela para atendimento exclusivo de síndromes gripais e casos suspeitos de covid19, como método estratégico para redução da disseminação e agravamento do CORONAVÍRUS em Porto Walter/AC.",Porto Walter - AC,HIANA BARROS SILVA,2021,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1191_unidade-sentinela-para-atendimento-exclusivo-de-sindromes-gripais-e-casos-suspeitos-de-covid19-como-metodo-estrategico-para-reducao-da-disseminacao-e-agravamento-do-coronavirus-em-porto-walter-ac
Barreira Sanitária como Estratégia para Retardar a Entrada do CORONAVÍRUS e possibilitar a organização da APS para enfrentamento à COVID19 em Porto Walter/AC,Porto Walter - AC,LUAN COELHO PEDROSA,2021,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1186_barreira-sanitaria-como-estrategia-para-retardar-a-entrada-do-coronavirus-e-possibilitar-a-organizacao-da-aps-para-enfrentamento-a-covid19-em-porto-walter-ac
"Educação Permanente e Educação em Saúde as classes trabalhista de atendimento ao público, para a prevenção á COVID19 em Porto Walter – Acre",Porto Walter - AC,MARIA GENICE ARAÚJO MOURA,2021,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1193_educacao-permanente-e-educacao-em-saude-as-classes-trabalhista-de-atendimento-ao-publico-para-a-prevencao-a-covid19-em-porto-walter-acre
"Atenção Básica, Média e Complexidade integrada para salvar vidas em tempos de pandemia no município de Porto Walter- Acre.",Porto Walter - AC,JOSE ITALO MENEZES DE ALMEIDA,2021,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1192_atencao-basica-media-e-complexidade-integrada-para-salvar-vidas-em-tempos-de-pandemia-no-municipio-de-porto-walter-acre
